ITComponentId,__v,_id,anomalyTimestamp,metric,feedback,infrastructure,issue,rootCauseAnomalyTimestamp,rootCauseAnomalyType,rootCauseFeedback,rootCauseSignificant,significant,updatedAt,count_affectedITComponentIds,count_anomalies,count_correlatedITComponentIds,count_masterTopologyComponents,duration,issue_id,is_positive_feedback,component_type,metric_no_subject,absolute_delta,scaled_absolute_delta
linux608ac1c48e4afc0040b43d19,0,61af63329180fc161a6869d9,1638365300000,system#diskio#iostat#busy-sda1,Not an anomaly,6040a96cdcc614001153fc55,61a778dcaf0b5f9b60de032a,,,,,False,2021-12-07T13:35:48.879Z,1,1,8,6201,0.0,61a778dcaf0b5f9b60de032a,False,host,system#diskio#iostat#busy,0.0,0.0
nodereservations-service_reservations-service,0,61af65119180fc161a6898c9,1638310140000,docker#diskio#write#service_time-no_subject,Warning (might generate a bigger issue),6040a96cdcc614001153fc55,61a6a145af0b5f67edde02d6,,,,,True,2021-12-07T13:43:46.898Z,1,16,11,6206,180.0,61a6a145af0b5f67edde02d6,True,service,docker#diskio#write#service_time,0.0,0.0
linux60fec22ada00c500125f4310,0,61af65789180fc161a68a2e2,1638287060000,system#cpu#system#norm#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a64730af0b5f4e3dde0264,,,,,False,2021-12-07T13:45:30.215Z,2,2,23,6043,80.0,61a64730af0b5f4e3dde0264,False,host,system#cpu#system#norm#pct,0.0,0.0
nginxappsmith_appsmith-nginx,0,61af65869180fc161a68a485,1638284840000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a63e6eaf0b5f1dc5de025e,,,,,False,2021-12-07T13:45:44.143Z,1,3,4,6044,0.0,61a63e6eaf0b5f1dc5de025e,False,service,docker#memory#usage#pct,3.67274678281e-05,1.0
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61af663b9180fc161a68b6c7,1637858650000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,619fbe611e815a68557050c5,,,,,False,2021-12-07T13:48:44.789Z,1,2,4,6022,0.0,619fbe611e815a68557050c5,False,service,docker#memory#usage#total,28263.94313436254,1.0
pythonpost-processing_post-processing-worker,0,61af668e9180fc161a68bef1,1637967800000,docker#memory#rss#total-no_subject,Debug (would be useful for troubleshooting),6040a96cdcc614001153fc55,61a168061e815ad54a70510e,,,,,True,2021-12-07T13:50:08.527Z,1,4,4,6022,0.0,61a168061e815ad54a70510e,True,service,docker#memory#rss#total,82083.62205778509,0.05407763003756331
nodeapp_app-web,0,61af67659180fc161a68d390,1638197170000,docker#diskio#read#service_time-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a4e80caf0b5f4a10de01e3,,,,,False,2021-12-07T13:53:43.088Z,1,4,4,5944,60.0,61a4e80caf0b5f4a10de01e3,False,service,docker#diskio#read#service_time,0.0,0.0
apachegaia_worker,0,61af67849180fc161a68d682,1638256270000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a5ced2af0b5f7311de0239,,,,,False,2021-12-07T13:54:13.922Z,1,1,4,6044,0.0,61a5ced2af0b5f7311de0239,False,service,docker#memory#usage#total,4487.395555549647,0.0
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61af678c9180fc161a68d7cb,1638259330000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a5dad6af0b5f4beede023e,,,,,False,2021-12-07T13:54:22.258Z,1,2,4,6044,0.0,61a5dad6af0b5f4beede023e,False,service,docker#memory#rss#total,30793.549746895507,0.020287143147552898
pythonpost-processing_post-processing-worker,0,61af68729180fc161a68ed60,1638263660000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a5ebd1af0b5f19a1de024e,,,,,False,2021-12-07T13:58:12.069Z,1,1,4,6044,0.0,61a5ebd1af0b5f19a1de024e,False,service,docker#memory#rss#total,1517884.9738934252,1.0
