ITComponentId,__v,_id,anomalyTimestamp,metric,feedback,infrastructure,issue,rootCauseAnomalyTimestamp,rootCauseAnomalyType,rootCauseFeedback,rootCauseSignificant,significant,updatedAt,count_affectedITComponentIds,count_anomalies,count_correlatedITComponentIds,count_masterTopologyComponents,duration,issue_id,is_positive_feedback,component_type,metric_no_subject,absolute_delta,scaled_absolute_delta
apachegaia_scripts,0,61bb3e789180fc161a81177f,1639560730000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b9b67aaf0b5f40bfde11e4,0,,,No,No,"December 16, 2021 1:26 PM (GMT)",1,2,4,5427,0,61b9b67aaf0b5f40bfde11e4,No,service,docker#memory#rss#total,95782.68444444444,0.15739178700694767
keto_keto,0,61bb3ee99180fc161a812247,1639582270000,docker#memory#usage#pct-no_subject,Debug (would be useful for troubleshooting),6040a96cdcc614001153fc55,61ba0a9daf0b5fd182de1374,0,,,No,Yes,"December 16, 2021 1:28 PM (GMT)",1,1,4,6167,0,61ba0a9daf0b5fd182de1374,Yes,service,docker#memory#usage#pct,2.58677065895e-05,0.0025118618035525637
apachegaia_worker,0,61bb3f709180fc161a812fe7,1639633360000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61bad228af0b5f7f70de157b,0,,,No,No,"December 16, 2021 1:30 PM (GMT)",1,1,4,6167,0,61bad228af0b5f7f70de157b,No,service,docker#memory#rss#total,243789.36888888877,0.40059896676808715
pythondynamic-flow_scheduler,0,61bb3fb19180fc161a8136eb,1639650610000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61bb1587af0b5f1212de167c,0,,,No,No,"December 16, 2021 1:31 PM (GMT)",1,1,4,6167,0,61bb1587af0b5f1212de167c,No,service,docker#memory#usage#total,685800.7633352253,0.1631266457989266
apachegaia_scripts,0,61bb51839180fc161a82fc39,1639665610000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61bb5016af0b5f2ec3de1719,0,,,No,No,"December 16, 2021 2:47 PM (GMT)",1,1,4,5437,0,61bb5016af0b5f2ec3de1719,No,service,docker#memory#rss#total,161391.50222222228,0.2652013470892512
rediskoios_redis_cache,0,61bb64859180fc161a84e65e,1639668550000,docker#memory#usage#pct-no_subject,Warning (might generate a bigger issue),6040a96cdcc614001153fc55,61bb5baeaf0b5ff1aede1756,0,,,No,Yes,"December 16, 2021 4:09 PM (GMT)",1,2,4,6167,0,61bb5baeaf0b5ff1aede1756,Yes,service,docker#memory#usage#pct,0.0020813883208421,0.20211145519973733
rabbitmqqueue_rabbitmq,0,61be45699180fc161ac7e572,1639723210000,docker#diskio#read#service_time-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61bc3119af0b5fa365de1ae9,0,,,No,No,"December 18, 2021 8:32 PM (GMT)",1,1,4,6171,0,61bc3119af0b5fa365de1ae9,No,service,docker#diskio#read#service_time,0.0,0
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61be45709180fc161ac7e652,1639783930000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61bd1e49af0b5f283dde1fe9,0,,,No,No,"December 18, 2021 8:32 PM (GMT)",1,2,4,6171,0,61bd1e49af0b5f283dde1fe9,No,service,docker#memory#rss#total,14140.795473563729,0.023236403136882883
nodereservation_reservation-tasks,0,61c1b09d9180fc161a181cc5,1640016010000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61c0a8d1af0b5fb17cde3491,0,,,No,No,"December 21, 2021 10:46 AM (GMT)",1,6,4,6173,180,61c0a8d1af0b5fb17cde3491,No,service,docker#memory#usage#pct,0.0102982204486389,1
apachegaia_scripts,0,61c2ff229180fc161a38948b,1640082550000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61c1acbcaf0b5fd882de3dd8,0,,,No,No,"December 22, 2021 10:34 AM (GMT)",1,2,4,6155,0,61c1acbcaf0b5fd882de3dd8,No,service,docker#memory#rss#total,77523.62666666665,0.1273881830217783
