EventTemplate,Occurrences
<*> <*> (10.0.11.197:46420 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.208:59164 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,17
accepting AMQP connection <*> (10.0.11.208:59322 -> 10.0.11.23:5672) ,16
<*> <*> (10.0.11.208:59322 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,16
closing AMQP connection <*> (10.0.11.197:46420 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.197:46638 -> 10.0.11.23:5672) ,18
<*> <*> (10.0.11.197:46638 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,18
closing AMQP connection <*> (10.0.11.197:46638 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,18
accepting AMQP connection <*> (10.0.11.197:46664 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.197:46664 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.197:46664 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.197:46704 -> 10.0.11.23:5672) ,17
<*> <*> (10.0.11.197:46704 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,17
closing AMQP connection <*> (10.0.11.208:59322 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,16
accepting AMQP connection <*> (10.0.11.208:59522 -> 10.0.11.23:5672) ,12
<*> <*> (10.0.11.208:59522 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.197:46704 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,17
accepting AMQP connection <*> (10.0.11.197:46742 -> 10.0.11.23:5672) ,12
<*> <*> (10.0.11.197:46742 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.197:46742 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.197:46772 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.197:46772 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:59522 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.208:59664 -> 10.0.11.23:5672) ,19
<*> <*> (10.0.11.208:59664 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,19
closing AMQP connection <*> (10.0.11.197:46772 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.197:46880 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.197:46880 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.197:46880 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.197:46912 -> 10.0.11.23:5672) ,9
<*> <*> (10.0.11.197:46912 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,9
closing AMQP connection <*> (10.0.11.197:46912 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,9
accepting AMQP connection <*> (10.0.11.197:46926 -> 10.0.11.23:5672) ,19
<*> <*> (10.0.11.197:46926 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,19
closing AMQP connection <*> (10.0.11.197:46926 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,19
accepting AMQP connection <*> (10.0.11.197:46936 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.197:46936 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.197:46936 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.197:46950 -> 10.0.11.23:5672) ,9
<*> <*> (10.0.11.197:46950 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,9
