Verb,Endpoint,i,Swagger plan,Description,Needs precision
GET,/infrastructure/:infrastructureId/topology,"infrastructure, topology",group 2,"Gets topology data from Mongo, and generates a topology for an infrastructure. Returns the list of inactive components, and the list of ITComponents",No
GET,/infrastructure/:infrastructureId/topology/:ITComponentId/correlation,"infrastructure, topology",group 2,"Gets the topology data from Mongo, generates the correlation topology for the targeted component (@Marin Radman check)",No
GET,/infrastructure/:infrastructureId/logAnomalyRating/:ITComponentId,"infrastructure, logAnomalyRating",group 2,"Get LogAnomaly data from Mongo, using a timestamp and a logAnomalyType as body arguments, and returns the list of LogAnomaly",No
POST,/infrastructure/:infrastructureId/logAnomalyRating/:ITComponentId,"infrastructure, logAnomalyRating",group 2,"Takes a list of logs in parameter, rating and the logAnomalyType, and insert multiple LogAnomalyRating in MongoDB",No
POST,/infrastructure/:infrastructureId/logAnomalyRating/:ITComponentId/feedback,"infrastructure, logAnomalyRating",group 2,Updates a LogAnomalyRating in MongoDB and insert a feedback (from the body parameters) (logAnomaly should be an ID in the URL and not a body parameter),No
GET,/infrastructure/:infrastructureId/anomalyRating/:ITComponentId,"anomalyRating, infrastructure",group 2,"Returns the AnomalyRating from MongoDB using anomalyType, componentId and timestamp",No
GET,/infrastructure/:infrastructureId/anomalyRating/:ITComponentId,"anomalyRating, infrastructure",group 2,"Update or Insert a AnomalyRating in MongoDB ",No
GET,/infrastructure/:infrastructureId/anomalyRating/:ITComponentId/feedback/:anomalyRatingId,"anomalyRating, infrastructure",group 2,Update an AnomalyRating with a feedback in MongoDB,No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/logs,"anomaly, infrastructure",group 3,"Retrieve AnomaliesDataPoint data from logs and from 14 last days using ITComponentID in MongoDB and returns the ITComponentID with ELK dashboards, Elasticsearch indexes and the list of datetimes from anomalies",No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/:ITComponentLogIndex/:timestamp,"anomaly, infrastructure",group 3,Retrieve ml log data from a targeted timestamp to the present time from Elasticsearch and returns the result,No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/:ITComponentLogsIndex/:timestamp/timespan,"anomaly, infrastructure",group 3,Retrieve log ml data for one day for a targeted timestamp from Elasticsearch and returns the result,Yes
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/,"anomaly, infrastructure",group 3,"Retrieve AnomalyDataPoints from MongoDB for a given ITComponentId for the last 14 days (retention time), ",No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/:ITComponentMetricIndex/:timestamp,"anomaly, infrastructure",group 3,,No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/,"anomaly, infrastructure",group 3,,No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/,"anomaly, infrastructure",group 3,,No
GET,/infrastructure/:infrastructureId/anomaly/:ITComponentId/,"anomaly, infrastructure",group 3,,No
GET,/infrastructure/:infrastructureId/issue/paginated/:ITComponentId?,"infrastructure, issue",group 3,"Get issues list from MongoDB paginated, using start and lenght as parameters to get the next page and returns it.",No
GET,/infrastructure/:infrastructureId/issue/aknowledgement/:aknowledgement,"infrastructure, issue",group 3,"Returns all issues from MongoDB that has been marked as acknowledged or not (depending of the URL parameter) for the infrastructure. If the aknoweledgement parameter is equal to ""all"", returns every issue of the infrastructure.",No
GET,/infrastructure/:infrastructureId/issue/:issueId,"infrastructure, issue",group 3,Get data for issue from MongoDB and add metadata for the Root Cause Analysis page,Yes
GET,/infrastructure/:infrastructureId/issue/:issueId/correlation,"infrastructure, issue",group 3,"Gets the topology data from Mongo, generates the correlation topology for the KPI component of the issue (@Marin Radman check)",No
GET,/infrastructure/:infrastructureId/issue/:issueId/aknowledgement,"infrastructure, issue",group 3,"Return all issues related to the given ITComponentId, depending of the aknowledgement is equal to 'aknowledged' or not. If the value is equal to 'all', returns every issues related to the componentID ",No
GET,/infrastructure/:infrastructureId/issue/subType/:ITComponentSubType,"infrastructure, issue",group 3,"Return all issues related to the given subtype in the URL. If the subtype is equal to 'all', return every issues. Returns multiple data for every field, including the number of issues / aknowledgde issues / unaknowledgeissues, the latest issues and its KPI",No
POST,/infrastructure/:infrastructureId/issue/:issueId/ITComponent/:ITComponentId/KPIRating,"infrastructure, issue",group 3,"Insert or update a IssueRating document in MongoDB, with the provided rating",No
POST,/infrastructure/:infrastructureId/issue/:issueId/ITComponent/:ITComponentId/KPIFeedback,"infrastructure, issue",group 3,"Insert or update a IssueRating document in MongoDB, with the provided feedback",No
POST,/infrastructure/:infrastructureId/issue/:issueId/ITComponent/:ITComponentId/rootCauseFeedback,"infrastructure, issue",group 3,"Insert or update a IssueRating document in MongoDB, and sets the rootCauseFeedback field in the document the provided Feedback",No
POST,Copy of /infrastructure/:infrastructureId/issue/:issueId,"infrastructure, issue",group 3,"Insert or update a IssueRating document in MongoDB, and sets the rootCauseRating field in the document the provided Rating",No
,,,,,No
